"age","workclass","educatoin","education_num","marital_status","occupation","race","sex","hours_per_week","income"
43,"Other/Unknown","Some-college",10,"Divorced","Other/Unknown","White","Female",40,"<=50K"
47,"Government","Some-college",10,"Divorced","White-Collar","White","Female",38,"<=50K"
34,"Private","HS-grad",9,"Single","White-Collar","White","Female",40,"<=50K"
33,"Private","Bachelors",13,"Single","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
21,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",35,"<=50K"
52,"Other/Unknown","HS-grad",9,"Divorced","Other/Unknown","White","Male",45,">50K"
48,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",46,"<=50K"
23,"Private","Bachelors",13,"Single","Blue-Collar","White","Male",40,"<=50K"
71,"Self-Employed","Some-college",10,"Separated","Sales","Black","Male",2,"<=50K"
29,"Private","HS-grad",9,"Divorced","Blue-Collar","White","Male",60,"<=50K"
42,"Private","Bachelors",13,"Separated","Service","Black","Male",50,"<=50K"
68,"Other/Unknown","1st-4th",2,"Divorced","Other/Unknown","White","Female",20,"<=50K"
25,"Private","HS-grad",9,"Single","Service","White","Female",40,"<=50K"
44,"Self-Employed","Masters",14,"Divorced","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
28,"Private","HS-grad",9,"Single","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
45,"Self-Employed","Masters",14,"Married","Sales","White","Male",40,">50K"
36,"Private","Some-college",10,"Divorced","Service","White","Female",40,"<=50K"
39,"Government","Assoc-acdm",12,"Single","White-Collar","White","Male",42,"<=50K"
46,"Government","Masters",14,"Widowed","Service","White","Male",40,"<=50K"
18,"Private","11th",7,"Single","Blue-Collar","White","Male",16,"<=50K"
66,"Government","Assoc-voc",11,"Widowed","Professional","White","Female",20,"<=50K"
27,"Private","HS-grad",9,"Single","Service","White","Male",40,"<=50K"
28,"Government","HS-grad",9,"Married","Service","White","Male",40,"<=50K"
51,"Private","Some-college",10,"Married","Sales","White","Male",40,">50K"
27,"Private","Bachelors",13,"Single","Blue-Collar","White","Male",50,"<=50K"
28,"Government","Bachelors",13,"Married","Professional","White","Male",40,">50K"
27,"Private","HS-grad",9,"Married","Sales","White","Female",25,"<=50K"
21,"Private","HS-grad",9,"Single","Blue-Collar","Black","Male",40,"<=50K"
34,"Private","HS-grad",9,"Single","Blue-Collar","Black","Male",40,"<=50K"
18,"Private","HS-grad",9,"Single","Service","White","Male",12,"<=50K"
33,"Private","Bachelors",13,"Married","Professional","White","Male",65,"<=50K"
44,"Government","Some-college",10,"Married","White-Collar","Black","Male",38,">50K"
43,"Private","Some-college",10,"Divorced","White-Collar","White","Female",40,"<=50K"
30,"Private","Some-college",10,"Single","Blue-Collar","Black","Male",45,"<=50K"
40,"Private","7th-8th",4,"Married","Blue-Collar","White","Male",40,">50K"
37,"Government","Some-college",10,"Married","White-Collar","White","Male",42,">50K"
34,"Private","HS-grad",9,"Married","White-Collar","Black","Male",40,"<=50K"
41,"Self-Employed","Bachelors",13,"Divorced","White-Collar","White","Female",40,"<=50K"
53,"Other/Unknown","Bachelors",13,"Divorced","Other/Unknown","White","Female",50,"<=50K"
31,"Private","Masters",14,"Married","Professional","White","Female",50,"<=50K"
58,"Government","Doctorate",16,"Married","Professional","White","Male",1,">50K"
38,"Private","Some-college",10,"Divorced","Blue-Collar","Black","Female",28,"<=50K"
24,"Private","Some-college",10,"Married","Blue-Collar","White","Male",40,"<=50K"
41,"Government","Bachelors",13,"Married","Blue-Collar","Black","Male",40,"<=50K"
47,"Private","Some-college",10,"Married","Service","White","Male",45,"<=50K"
41,"Government","Bachelors",13,"Married","Service","White","Male",24,"<=50K"
23,"Private","5th-6th",3,"Married","Blue-Collar","White","Male",40,"<=50K"
36,"Private","Some-college",10,"Divorced","Blue-Collar","White","Male",40,"<=50K"
40,"Government","Masters",14,"Single","White-Collar","White","Female",55,">50K"
35,"Private","Masters",14,"Married","Professional","White","Male",40,">50K"
24,"Self-Employed","HS-grad",9,"Single","Sales","White","Male",40,"<=50K"
26,"Private","Masters",14,"Single","Professional","White","Female",40,"<=50K"
19,"Other/Unknown","HS-grad",9,"Single","Other/Unknown","White","Male",40,"<=50K"
51,"Private","Bachelors",13,"Married","White-Collar","White","Male",50,">50K"
42,"Government","Some-college",10,"Single","Professional","White","Female",40,"<=50K"
37,"Government","HS-grad",9,"Divorced","White-Collar","White","Female",35,"<=50K"
18,"Private","11th",7,"Single","Sales","White","Female",40,"<=50K"
36,"Private","Bachelors",13,"Married","Service","Black","Male",36,">50K"
35,"Private","HS-grad",9,"Divorced","Blue-Collar","White","Male",60,"<=50K"
58,"Self-Employed","HS-grad",9,"Married","Sales","White","Female",35,">50K"
17,"Private","11th",7,"Single","Sales","White","Female",12,"<=50K"
44,"Government","HS-grad",9,"Married","Blue-Collar","Black","Male",40,"<=50K"
37,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,">50K"
35,"Private","Some-college",10,"Single","Sales","Amer-Indian-Eskimo","Female",40,"<=50K"
60,"Private","HS-grad",9,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,"<=50K"
54,"Self-Employed","7th-8th",4,"Married","Blue-Collar","White","Male",40,">50K"
37,"Private","Bachelors",13,"Single","White-Collar","Black","Male",60,">50K"
50,"Private","Assoc-acdm",12,"Divorced","Sales","White","Female",40,"<=50K"
38,"Private","Bachelors",13,"Married","Sales","White","Male",50,"<=50K"
45,"Private","Bachelors",13,"Married","Professional","White","Male",55,"<=50K"
25,"Private","10th",6,"Single","Blue-Collar","White","Male",40,"<=50K"
31,"Private","Some-college",10,"Married","Blue-Collar","White","Male",40,"<=50K"
64,"Other/Unknown","1st-4th",2,"Divorced","Other/Unknown","White","Male",40,"<=50K"
90,"Private","HS-grad",9,"Single","Service","Black","Male",40,"<=50K"
54,"Private","HS-grad",9,"Married","White-Collar","Black","Male",20,"<=50K"
53,"Government","Preschool",1,"Single","Blue-Collar","White","Female",35,"<=50K"
18,"Private","HS-grad",9,"Single","Sales","White","Female",40,"<=50K"
60,"Other/Unknown","10th",6,"Divorced","Other/Unknown","Amer-Indian-Eskimo","Female",10,"<=50K"
66,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",50,"<=50K"
75,"Private","Assoc-voc",11,"Widowed","White-Collar","White","Female",20,"<=50K"
65,"Private","HS-grad",9,"Divorced","White-Collar","White","Female",40,"<=50K"
35,"Private","11th",7,"Separated","Blue-Collar","Black","Male",40,"<=50K"
41,"Private","HS-grad",9,"Divorced","Sales","Black","Female",38,"<=50K"
25,"Private","Some-college",10,"Single","White-Collar","White","Male",42,"<=50K"
33,"Private","Some-college",10,"Divorced","Blue-Collar","Other","Female",40,"<=50K"
28,"Private","Prof-school",15,"Single","Professional","White","Male",55,">50K"
59,"Government","HS-grad",9,"Married","Service","White","Male",40,"<=50K"
40,"Government","Some-college",10,"Single","White-Collar","White","Female",38,"<=50K"
41,"Private","Bachelors",13,"Married","White-Collar","White","Male",50,">50K"
38,"Government","Masters",14,"Married","White-Collar","White","Male",70,">50K"
23,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
40,"Private","Bachelors",13,"Married","Professional","White","Male",40,">50K"
41,"Self-Employed","HS-grad",9,"Married","Service","White","Female",20,"<=50K"
24,"Government","Assoc-acdm",12,"Married","Service","White","Male",50,"<=50K"
20,"Other/Unknown","Some-college",10,"Single","Other/Unknown","White","Male",20,"<=50K"
38,"Private","Some-college",10,"Divorced","Blue-Collar","White","Male",40,"<=50K"
56,"Private","HS-grad",9,"Married","White-Collar","White","Male",35,"<=50K"
58,"Private","HS-grad",9,"Married","White-Collar","White","Male",45,">50K"
32,"Private","HS-grad",9,"Single","Service","White","Female",34,"<=50K"
40,"Private","Assoc-acdm",12,"Married","Service","White","Male",60,">50K"
45,"Private","HS-grad",9,"Married","White-Collar","White","Male",40,"<=50K"
41,"Private","Prof-school",15,"Married","Professional","White","Female",40,">50K"
42,"Private","Bachelors",13,"Married","White-Collar","Black","Female",40,"<=50K"
59,"Government","10th",6,"Widowed","Service","Black","Female",30,"<=50K"
19,"Government","Some-college",10,"Single","White-Collar","White","Male",40,"<=50K"
58,"Private","Some-college",10,"Single","Blue-Collar","White","Male",20,"<=50K"
42,"Self-Employed","HS-grad",9,"Married","Blue-Collar","Asian-Pac-Islander","Male",40,">50K"
20,"Private","HS-grad",9,"Single","Service","White","Female",40,"<=50K"
32,"Private","HS-grad",9,"Separated","Service","White","Female",30,"<=50K"
45,"Private","Assoc-voc",11,"Widowed","White-Collar","White","Female",45,"<=50K"
50,"Private","7th-8th",4,"Divorced","Blue-Collar","White","Male",40,"<=50K"
36,"Private","Bachelors",13,"Divorced","Professional","White","Female",40,"<=50K"
45,"Private","HS-grad",9,"Married","Sales","White","Male",60,"<=50K"
17,"Private","11th",7,"Single","Service","White","Male",12,"<=50K"
59,"Private","Some-college",10,"Married","Sales","White","Male",40,"<=50K"
26,"Private","11th",7,"Married","Blue-Collar","White","Male",40,"<=50K"
37,"Self-Employed","Some-college",10,"Married","White-Collar","Asian-Pac-Islander","Male",75,">50K"
19,"Other/Unknown","Some-college",10,"Single","Other/Unknown","White","Male",24,"<=50K"
64,"Private","HS-grad",9,"Married","White-Collar","White","Male",40,">50K"
33,"Private","Bachelors",13,"Single","Professional","White","Female",45,"<=50K"
33,"Private","HS-grad",9,"Married","Blue-Collar","White","Female",40,">50K"
61,"Private","HS-grad",9,"Married","White-Collar","White","Male",40,">50K"
17,"Private","9th",5,"Single","Service","White","Male",24,"<=50K"
50,"Self-Employed","Masters",14,"Married","Blue-Collar","White","Male",98,"<=50K"
27,"Government","Masters",14,"Single","Professional","White","Male",35,"<=50K"
30,"Private","HS-grad",9,"Divorced","Professional","White","Female",40,"<=50K"
43,"Private","HS-grad",9,"Married","Blue-Collar","Black","Male",40,"<=50K"
44,"Private","Some-college",10,"Married","Blue-Collar","White","Male",40,">50K"
35,"Private","Some-college",10,"Single","White-Collar","White","Female",40,"<=50K"
25,"Private","Some-college",10,"Single","Service","White","Female",40,"<=50K"
24,"Private","Some-college",10,"Married","Blue-Collar","White","Female",48,">50K"
22,"Private","Bachelors",13,"Single","Professional","White","Female",15,"<=50K"
42,"Government","Some-college",10,"Married","Blue-Collar","White","Male",40,">50K"
34,"Private","Assoc-acdm",12,"Divorced","Sales","Black","Female",45,"<=50K"
60,"Private","Bachelors",13,"Divorced","Professional","White","Female",42,"<=50K"
21,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
57,"Government","Masters",14,"Married","Sales","White","Male",40,">50K"
41,"Private","Prof-school",15,"Married","Professional","White","Male",60,">50K"
50,"Private","Some-college",10,"Divorced","Service","White","Male",45,"<=50K"
25,"Private","Bachelors",13,"Single","White-Collar","White","Female",40,"<=50K"
50,"Private","7th-8th",4,"Married","Blue-Collar","White","Male",40,"<=50K"
36,"Private","Bachelors",13,"Married","Professional","White","Male",45,"<=50K"
31,"Private","HS-grad",9,"Divorced","Professional","White","Female",40,"<=50K"
29,"Government","Bachelors",13,"Single","Service","White","Male",56,"<=50K"
21,"Private","Some-college",10,"Single","Sales","White","Male",45,"<=50K"
27,"Private","Bachelors",13,"Single","Service","Black","Female",40,"<=50K"
65,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",16,"<=50K"
37,"Self-Employed","Bachelors",13,"Divorced","Sales","White","Female",60,"<=50K"
39,"Other/Unknown","Masters",14,"Married","Other/Unknown","Asian-Pac-Islander","Female",40,"<=50K"
24,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
38,"Private","HS-grad",9,"Divorced","Sales","White","Male",80,"<=50K"
48,"Private","Bachelors",13,"Married","White-Collar","White","Male",40,">50K"
21,"Private","Some-college",10,"Single","Service","Asian-Pac-Islander","Female",25,"<=50K"
31,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",45,">50K"
55,"Private","HS-grad",9,"Married","Sales","White","Male",40,">50K"
24,"Private","Some-college",10,"Married","White-Collar","Asian-Pac-Islander","Female",40,"<=50K"
43,"Private","HS-grad",9,"Divorced","White-Collar","White","Female",40,"<=50K"
26,"Private","Assoc-acdm",12,"Single","Service","White","Male",45,"<=50K"
46,"Private","Assoc-acdm",12,"Single","Professional","White","Female",33,"<=50K"
35,"Private","Assoc-acdm",12,"Married","White-Collar","White","Male",40,">50K"
41,"Self-Employed","Some-college",10,"Married","Blue-Collar","White","Male",54,">50K"
26,"Private","Bachelors",13,"Single","Sales","White","Male",40,"<=50K"
34,"Private","Masters",14,"Married","White-Collar","Asian-Pac-Islander","Male",35,">50K"
19,"Other/Unknown","Some-college",10,"Single","Other/Unknown","Black","Female",25,"<=50K"
36,"Self-Employed","Bachelors",13,"Divorced","Professional","Black","Female",40,">50K"
22,"Private","Some-college",10,"Single","Sales","White","Male",15,"<=50K"
24,"Private","Some-college",10,"Single","Blue-Collar","White","Male",40,"<=50K"
77,"Self-Employed","Some-college",10,"Married","Sales","White","Male",40,"<=50K"
22,"Private","5th-6th",3,"Married","Blue-Collar","White","Female",40,"<=50K"
29,"Private","Some-college",10,"Single","Service","White","Female",40,"<=50K"
62,"Private","HS-grad",9,"Widowed","Service","White","Female",24,"<=50K"
39,"Self-Employed","HS-grad",9,"Married","White-Collar","White","Male",40,"<=50K"
43,"Private","Some-college",10,"Married","Blue-Collar","White","Male",50,"<=50K"
35,"Private","HS-grad",9,"Divorced","Blue-Collar","White","Male",45,"<=50K"
29,"Private","11th",7,"Single","White-Collar","White","Female",40,"<=50K"
76,"Self-Employed","Masters",14,"Married","Blue-Collar","White","Male",10,"<=50K"
63,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",45,"<=50K"
23,"Other/Unknown","Assoc-voc",11,"Single","Other/Unknown","Black","Female",15,"<=50K"
43,"Private","Some-college",10,"Married","Professional","White","Female",50,">50K"
58,"Self-Employed","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
66,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",55,"<=50K"
41,"Private","Some-college",10,"Single","Blue-Collar","Black","Male",45,"<=50K"
26,"Private","Bachelors",13,"Single","White-Collar","White","Male",40,"<=50K"
47,"Private","Assoc-voc",11,"Single","Service","White","Male",40,"<=50K"
55,"Government","10th",6,"Married","White-Collar","White","Male",40,"<=50K"
53,"Private","HS-grad",9,"Married","Blue-Collar","White","Male",40,"<=50K"
17,"Private","5th-6th",3,"Single","Service","White","Male",48,"<=50K"
30,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",40,"<=50K"
49,"Private","Masters",14,"Single","Professional","White","Male",60,"<=50K"
19,"Private","HS-grad",9,"Single","Sales","Black","Male",30,"<=50K"
45,"Private","HS-grad",9,"Married","Service","Black","Male",40,"<=50K"
26,"Private","Assoc-acdm",12,"Single","Sales","White","Male",40,"<=50K"
38,"Private","Assoc-voc",11,"Married","Blue-Collar","White","Male",40,">50K"
36,"Government","HS-grad",9,"Married","Service","White","Male",40,">50K"
33,"Private","HS-grad",9,"Single","Blue-Collar","White","Male",20,"<=50K"
22,"Government","Some-college",10,"Single","Service","Black","Female",40,"<=50K"
43,"Self-Employed","Bachelors",13,"Single","Sales","White","Male",42,"<=50K"
67,"Other/Unknown","11th",7,"Married","Other/Unknown","White","Male",8,"<=50K"
30,"Other/Unknown","Assoc-voc",11,"Divorced","Other/Unknown","White","Female",40,"<=50K"
56,"Private","Assoc-acdm",12,"Married","Service","White","Male",25,"<=50K"
31,"Private","Bachelors",13,"Single","Professional","White","Male",25,"<=50K"
33,"Private","Bachelors",13,"Married","White-Collar","White","Male",40,">50K"
26,"Private","HS-grad",9,"Married","Service","White","Male",40,"<=50K"
33,"Private","Bachelors",13,"Married","White-Collar","White","Male",40,">50K"
46,"Government","11th",7,"Married","Blue-Collar","White","Male",30,"<=50K"
59,"Other/Unknown","Bachelors",13,"Married","Other/Unknown","White","Male",40,">50K"
38,"Government","HS-grad",9,"Married","White-Collar","White","Male",40,">50K"
65,"Private","11th",7,"Widowed","Service","Other","Male",40,"<=50K"
40,"Private","Assoc-voc",11,"Married","Service","White","Male",40,">50K"
42,"Private","HS-grad",9,"Married","White-Collar","White","Female",35,"<=50K"
26,"Self-Employed","9th",5,"Married","Blue-Collar","White","Male",40,"<=50K"
36,"Private","10th",6,"Married","Service","White","Female",24,"<=50K"
62,"Private","Masters",14,"Married","Professional","White","Male",40,">50K"
