"PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","Ticketnumber","Ticketprefix","Pclage"
44,"1","2","Miss","female",3,1,2,41.5792,"no_cabin","C","2","SCParis",6
45,"1","3","Miss","female",19,0,0,7.8792,"no_cabin","Q","3","no_prefix",57
46,"0","3","Mr","male",29,0,0,8.05,"no_cabin","S","4","SCA",87
47,"0","3","Mr","male",36,1,0,15.5,"no_cabin","Q","3","no_prefix",108
48,"1","3","Miss","female",21,0,0,7.75,"no_cabin","Q","1","no_prefix",63
49,"0","3","Mr","male",32,2,0,21.6792,"no_cabin","C","2","no_prefix",96
50,"0","3","Mrs","female",18,1,0,17.8,"no_cabin","S","3","no_prefix",54
51,"0","3","Master","male",7,4,1,39.6875,"no_cabin","S","3","no_prefix",21
52,"0","3","Mr","male",21,0,0,7.8,"no_cabin","S","4","A",63
53,"1","1","Mrs","female",49,1,0,76.7292,"D","C","1","PC",49
54,"1","2","Mrs","female",29,1,0,26,"no_cabin","S","2","no_prefix",58
55,"0","1","Mr","male",65,0,1,61.9792,"B","C","1","no_prefix",65
56,"1","1","Mr","male",40,0,0,35.5,"C","S","1","no_prefix",40
57,"1","2","Miss","female",21,0,0,10.5,"no_cabin","S","3","CA",42
58,"0","3","Mr","male",28.5,0,0,7.2292,"no_cabin","C","2","no_prefix",85.5
59,"1","2","Miss","female",5,1,2,27.75,"no_cabin","S","3","CA",10
60,"0","3","Master","male",11,5,2,46.9,"no_cabin","S","2","CA",33
61,"0","3","Mr","male",22,0,0,7.2292,"no_cabin","C","2","no_prefix",66
62,"1","1","Miss","female",38,0,0,80,"B","C","1","no_prefix",38
63,"0","1","Mr","male",45,1,0,83.475,"C","S","3","no_prefix",45
64,"0","3","Master","male",4,3,2,27.9,"no_cabin","S","3","no_prefix",12
65,"0","1","Mr","male",27,0,0,27.7208,"no_cabin","C","1","PC",27
66,"1","3","Master","male",6,1,1,15.2458,"no_cabin","C","2","no_prefix",18
67,"1","2","Mrs","female",29,0,0,10.5,"F","S","2","CA",58
68,"0","3","Mr","male",19,0,0,8.1583,"no_cabin","S","3","SP",57
69,"1","3","Miss","female",17,4,2,7.925,"no_cabin","S","3","no_prefix",51
70,"0","3","Mr","male",26,2,0,8.6625,"no_cabin","S","3","no_prefix",78
71,"0","2","Mr","male",32,0,0,10.5,"no_cabin","S","3","CA",64
72,"0","3","Miss","female",16,5,2,46.9,"no_cabin","S","2","CA",48
73,"0","2","Mr","male",21,0,0,73.5,"no_cabin","S","1","SOC",42
74,"0","3","Mr","male",26,1,0,14.4542,"no_cabin","C","2","no_prefix",78
75,"1","3","Mr","male",32,0,0,56.4958,"no_cabin","S","1","no_prefix",96
76,"0","3","Mr","male",25,0,0,7.65,"F","S","3","no_prefix",75
77,"0","3","Mr","male",20,0,0,7.8958,"no_cabin","S","3","no_prefix",60
78,"0","3","Mr","male",20,0,0,8.05,"no_cabin","S","3","no_prefix",60
79,"1","2","Master","male",0.83,0,2,29,"no_cabin","S","2","no_prefix",1.66
80,"1","3","Miss","female",30,0,0,12.475,"no_cabin","S","3","no_prefix",90
81,"0","3","Mr","male",22,0,0,9,"no_cabin","S","3","no_prefix",66
82,"1","3","Mr","male",29,0,0,9.5,"no_cabin","S","3","no_prefix",87
83,"1","3","Miss","female",16,0,0,7.7875,"no_cabin","Q","3","no_prefix",48
84,"0","1","Mr","male",28,0,0,47.1,"no_cabin","S","1","no_prefix",28
85,"1","2","Miss","female",17,0,0,10.5,"no_cabin","S","1","SOC",34
86,"1","3","Mrs","female",33,3,0,15.85,"no_cabin","S","3","no_prefix",99
87,"0","3","Mr","male",16,1,3,34.375,"no_cabin","S","3","WC",48
88,"0","3","Mr","male",33,0,0,8.05,"no_cabin","S","3","SOTONOQ",99
89,"1","1","Miss","female",23,3,2,263,"C","S","1","no_prefix",23
90,"0","3","Mr","male",24,0,0,8.05,"no_cabin","S","3","no_prefix",72
91,"0","3","Mr","male",29,0,0,8.05,"no_cabin","S","3","no_prefix",87
92,"0","3","Mr","male",20,0,0,7.8542,"no_cabin","S","3","no_prefix",60
93,"0","1","Mr","male",46,1,0,61.175,"E","S","5","WEP",46
94,"0","3","Mr","male",26,1,2,20.575,"no_cabin","S","2","CA",78
95,"0","3","Mr","male",59,0,0,7.25,"no_cabin","S","3","no_prefix",177
96,"0","3","Mr","male",33,0,0,8.05,"no_cabin","S","3","no_prefix",99
97,"0","1","Mr","male",71,0,0,34.6542,"A","C","1","PC",71
98,"1","1","Mr","male",23,0,1,63.3583,"D","C","1","PC",23
99,"1","2","Mrs","female",34,0,1,23,"no_cabin","S","2","no_prefix",68
100,"0","2","Mr","male",34,1,0,26,"no_cabin","S","2","no_prefix",68
101,"0","3","Miss","female",28,0,0,7.8958,"no_cabin","S","3","no_prefix",84
102,"0","3","Mr","male",28,0,0,7.8958,"no_cabin","S","3","no_prefix",84
103,"0","1","Mr","male",21,0,1,77.2875,"D","S","3","no_prefix",21
104,"0","3","Mr","male",33,0,0,8.6542,"no_cabin","S","7","no_prefix",99
105,"0","3","Mr","male",37,2,0,7.925,"no_cabin","S","3","no_prefix",111
106,"0","3","Mr","male",28,0,0,7.8958,"no_cabin","S","3","no_prefix",84
107,"1","3","Miss","female",21,0,0,7.65,"no_cabin","S","3","no_prefix",63
108,"1","3","Mr","male",32,0,0,7.775,"no_cabin","S","3","no_prefix",96
109,"0","3","Mr","male",38,0,0,7.8958,"no_cabin","S","3","no_prefix",114
110,"1","3","Miss","female",4,1,0,24.15,"no_cabin","Q","3","no_prefix",12
111,"0","1","Mr","male",47,0,0,52,"C","S","1","no_prefix",47
112,"0","3","Miss","female",14.5,1,0,14.4542,"no_cabin","C","2","no_prefix",43.5
113,"0","3","Mr","male",22,0,0,8.05,"no_cabin","S","3","no_prefix",66
114,"0","3","Miss","female",20,1,0,9.825,"no_cabin","S","4","no_prefix",60
115,"0","3","Miss","female",17,0,0,14.4583,"no_cabin","C","2","no_prefix",51
116,"0","3","Mr","male",21,0,0,7.925,"no_cabin","S","2","STONO",63
117,"0","3","Mr","male",70.5,0,0,7.75,"no_cabin","Q","3","no_prefix",211.5
118,"0","2","Mr","male",29,1,0,21,"no_cabin","S","1","no_prefix",58
119,"0","1","Mr","male",24,0,1,247.5208,"B","C","1","PC",24
120,"0","3","Miss","female",2,4,2,31.275,"no_cabin","S","3","no_prefix",6
121,"0","2","Mr","male",21,2,0,73.5,"no_cabin","S","1","SOC",42
122,"0","3","Mr","male",21,0,0,8.05,"no_cabin","S","4","A",63
123,"0","2","Mr","male",32.5,1,0,30.0708,"no_cabin","C","2","no_prefix",65
124,"1","2","Miss","female",32.5,0,0,13,"E","S","2","no_prefix",65
125,"0","1","Mr","male",54,0,1,77.2875,"D","S","3","no_prefix",54
126,"1","3","Master","male",12,1,0,11.2417,"no_cabin","C","2","no_prefix",36
127,"0","3","Mr","male",29,0,0,7.75,"no_cabin","Q","3","no_prefix",87
128,"1","3","Mr","male",24,0,0,7.1417,"no_cabin","S","1","C",72
129,"1","3","Miss","female",24,1,1,22.3583,"F","C","2","no_prefix",72
130,"0","3","Mr","male",45,0,0,6.975,"no_cabin","S","3","no_prefix",135
131,"0","3","Mr","male",33,0,0,7.8958,"no_cabin","C","3","no_prefix",99
132,"0","3","Mr","male",20,0,0,7.05,"no_cabin","S","3","SOTONOQ",60
133,"0","3","Mrs","female",47,1,0,14.5,"no_cabin","S","5","A",141
134,"1","2","Mrs","female",29,1,0,26,"no_cabin","S","2","no_prefix",58
135,"0","2","Mr","male",25,0,0,13,"no_cabin","S","2","CA",50
136,"0","2","Mr","male",23,0,0,15.0458,"no_cabin","C","2","SCPARIS",46
137,"1","1","Miss","female",19,0,2,26.2833,"D","S","1","no_prefix",19
138,"0","1","Mr","male",37,1,0,53.1,"C","S","1","no_prefix",37
139,"0","3","Mr","male",16,0,0,9.2167,"no_cabin","S","7","no_prefix",48
140,"0","1","Mr","male",24,0,0,79.2,"B","C","1","PC",24
141,"0","3","Mrs","female",43,0,2,15.2458,"no_cabin","C","2","no_prefix",129
142,"1","3","Miss","female",22,0,0,7.75,"no_cabin","S","3","no_prefix",66
143,"1","3","Mrs","female",24,1,0,15.85,"no_cabin","S","2","STONO",72
144,"0","3","Mr","male",19,0,0,6.75,"no_cabin","Q","3","no_prefix",57
145,"0","2","Mr","male",18,0,0,11.5,"no_cabin","S","2","no_prefix",36
146,"0","2","Mr","male",19,1,1,36.75,"no_cabin","S","3","CA",38
147,"1","3","Mr","male",27,0,0,7.7958,"no_cabin","S","3","no_prefix",81
148,"0","3","Miss","female",9,2,2,34.375,"no_cabin","S","3","WC",27
149,"0","2","Mr","male",36.5,0,2,26,"F","S","2","no_prefix",73
150,"0","2","Rev","male",42,0,0,13,"no_cabin","S","2","no_prefix",84
151,"0","2","Rev","male",51,0,0,12.525,"no_cabin","S","1","SOP",102
152,"1","1","Mrs","female",22,1,0,66.6,"C","S","1","no_prefix",22
153,"0","3","Mr","male",55.5,0,0,8.05,"no_cabin","S","5","A",166.5
154,"0","3","Mr","male",40.5,0,2,14.5,"no_cabin","S","5","A",121.5
155,"0","3","Mr","male",55.5,0,0,7.3125,"no_cabin","S","2","Fa",166.5
156,"0","1","Mr","male",51,0,1,61.3792,"no_cabin","C","1","PC",51
157,"1","3","Miss","female",16,0,0,7.7333,"no_cabin","Q","3","no_prefix",48
158,"0","3","Mr","male",30,0,0,8.05,"no_cabin","S","3","SOTONOQ",90
159,"0","3","Mr","male",17,0,0,8.6625,"no_cabin","S","3","no_prefix",51
160,"0","3","Master","male",7,8,2,69.55,"no_cabin","S","2","CA",21
161,"0","3","Mr","male",44,0,1,16.1,"no_cabin","S","3","no_prefix",132
162,"1","2","Mrs","female",40,0,0,15.75,"no_cabin","S","3","CA",80
163,"0","3","Mr","male",26,0,0,7.775,"no_cabin","S","3","no_prefix",78
164,"0","3","Mr","male",17,0,0,8.6625,"no_cabin","S","3","no_prefix",51
165,"0","3","Master","male",1,4,1,39.6875,"no_cabin","S","3","no_prefix",3
166,"1","3","Master","male",9,0,2,20.525,"no_cabin","S","3","no_prefix",27
167,"1","1","Mrs","female",40,0,1,55,"E","S","1","no_prefix",40
168,"0","3","Mrs","female",45,1,4,27.9,"no_cabin","S","3","no_prefix",135
169,"0","1","Mr","male",47,0,0,25.925,"no_cabin","S","1","PC",47
170,"0","3","Mr","male",28,0,0,56.4958,"no_cabin","S","1","no_prefix",84
171,"0","1","Mr","male",61,0,0,33.5,"B","S","1","no_prefix",61
172,"0","3","Master","male",4,4,1,29.125,"no_cabin","Q","3","no_prefix",12
173,"1","3","Miss","female",1,1,1,11.1333,"no_cabin","S","3","no_prefix",3
174,"0","3","Mr","male",21,0,0,7.925,"no_cabin","S","2","STONO",63
175,"0","1","Mr","male",56,0,0,30.6958,"A","C","1","no_prefix",56
176,"0","3","Mr","male",18,1,1,7.8542,"no_cabin","S","3","no_prefix",54
177,"0","3","Master","male",0.92,3,1,25.4667,"no_cabin","S","4","no_prefix",2.76
178,"0","1","Miss","female",50,0,0,28.7125,"C","C","1","PC",50
179,"0","2","Mr","male",30,0,0,13,"no_cabin","S","2","no_prefix",60
180,"0","3","Mr","male",36,0,0,0,"no_cabin","S","3","LINE",108
181,"0","3","Miss","female",21,8,2,69.55,"no_cabin","S","2","CA",63
182,"0","2","Mr","male",23,0,0,15.05,"no_cabin","C","2","SCPARIS",46
183,"0","3","Master","male",9,4,2,31.3875,"no_cabin","S","3","no_prefix",27
184,"1","2","Master","male",1,2,1,39,"F","S","2","no_prefix",2
185,"1","3","Miss","female",4,0,2,22.025,"no_cabin","S","3","no_prefix",12
186,"0","1","Mr","male",28,0,0,50,"A","S","1","no_prefix",28
187,"1","3","Mrs","female",31,1,0,15.5,"no_cabin","Q","3","no_prefix",93
188,"1","1","Mr","male",45,0,0,26.55,"no_cabin","S","1","no_prefix",45
189,"0","3","Mr","male",40,1,1,15.5,"no_cabin","Q","3","no_prefix",120
190,"0","3","Mr","male",36,0,0,7.8958,"no_cabin","S","3","no_prefix",108
191,"1","2","Mrs","female",32,0,0,13,"no_cabin","S","2","no_prefix",64
192,"0","2","Mr","male",19,0,0,13,"no_cabin","S","2","no_prefix",38
193,"1","3","Miss","female",19,1,0,7.8542,"no_cabin","S","3","no_prefix",57
194,"1","2","Master","male",3,1,1,26,"F","S","2","no_prefix",6
195,"1","1","Mrs","female",44,0,0,27.7208,"B","C","1","PC",44
196,"1","1","Miss","female",58,0,0,146.5208,"B","C","1","PC",58
197,"0","3","Mr","male",24,0,0,7.75,"no_cabin","Q","3","no_prefix",72
198,"0","3","Mr","male",42,0,1,8.4042,"no_cabin","S","4","no_prefix",126
199,"1","3","Miss","female",15,0,0,7.75,"no_cabin","Q","3","no_prefix",45
200,"0","2","Miss","female",24,0,0,13,"no_cabin","S","2","no_prefix",48
201,"0","3","Mr","male",28,0,0,9.5,"no_cabin","S","3","no_prefix",84
202,"0","3","Mr","male",26,8,2,69.55,"no_cabin","S","2","CA",78
203,"0","3","Mr","male",34,0,0,6.4958,"no_cabin","S","3","no_prefix",102
204,"0","3","Mr","male",45.5,0,0,7.225,"no_cabin","C","2","no_prefix",136.5
205,"1","3","Mr","male",18,0,0,8.05,"no_cabin","S","5","A",54
206,"0","3","Miss","female",2,0,1,10.4625,"G","S","3","no_prefix",6
207,"0","3","Mr","male",32,1,0,15.85,"no_cabin","S","3","no_prefix",96
208,"1","3","Mr","male",26,0,0,18.7875,"no_cabin","C","2","no_prefix",78
209,"1","3","Miss","female",16,0,0,7.75,"no_cabin","Q","3","no_prefix",48
210,"1","1","Mr","male",40,0,0,31,"A","C","1","no_prefix",40
211,"0","3","Mr","male",24,0,0,7.05,"no_cabin","S","3","SOTONOQ",72
212,"1","2","Miss","female",35,0,0,21,"no_cabin","S","1","FCC",70
213,"0","3","Mr","male",22,0,0,7.25,"no_cabin","S","5","A",66
214,"0","2","Mr","male",30,0,0,13,"no_cabin","S","2","no_prefix",60
215,"0","3","Mr","male",65,1,0,7.75,"no_cabin","Q","3","no_prefix",195
216,"1","1","Miss","female",31,1,0,113.275,"D","C","3","no_prefix",31
217,"1","3","Miss","female",27,0,0,7.925,"no_cabin","S","2","STONO",81
218,"0","2","Mr","male",42,1,0,27,"no_cabin","S","2","no_prefix",84
219,"1","1","Miss","female",32,0,0,76.2917,"D","C","1","no_prefix",32
220,"0","2","Mr","male",30,0,0,10.5,"no_cabin","S","1","WC",60
221,"1","3","Mr","male",16,0,0,8.05,"no_cabin","S","3","SOTONOQ",48
222,"0","2","Mr","male",27,0,0,13,"no_cabin","S","2","no_prefix",54
223,"0","3","Mr","male",51,0,0,8.05,"no_cabin","S","2","no_prefix",153
224,"0","3","Mr","male",33,0,0,7.8958,"no_cabin","S","3","no_prefix",99
225,"1","1","Mr","male",38,1,0,90,"C","S","1","no_prefix",38
226,"0","3","Mr","male",22,0,0,9.35,"no_cabin","S","4","PP",66
227,"1","2","Mr","male",19,0,0,10.5,"no_cabin","S","7","SWPP",38
228,"0","3","Mr","male",20.5,0,0,7.25,"no_cabin","S","5","A",61.5
229,"0","2","Mr","male",18,0,0,13,"no_cabin","S","2","no_prefix",36
230,"0","3","Miss","female",18,3,1,25.4667,"no_cabin","S","4","no_prefix",54
231,"1","1","Mrs","female",35,1,0,83.475,"C","S","3","no_prefix",35
232,"0","3","Mr","male",29,0,0,7.775,"no_cabin","S","3","no_prefix",87
233,"0","2","Mr","male",59,0,0,13.5,"no_cabin","S","2","no_prefix",118
234,"1","3","Miss","female",5,4,2,31.3875,"no_cabin","S","3","no_prefix",15
235,"0","2","Mr","male",24,0,0,10.5,"no_cabin","S","2","CA",48
236,"0","3","Miss","female",20,0,0,7.55,"no_cabin","S","3","WC",60
237,"0","2","Mr","male",44,1,0,26,"no_cabin","S","2","no_prefix",88
238,"1","2","Miss","female",8,0,2,26.25,"no_cabin","S","3","CA",16
239,"0","2","Mr","male",19,0,0,10.5,"no_cabin","S","2","no_prefix",38
240,"0","2","Mr","male",33,0,0,12.275,"no_cabin","S","1","SCOW",66
241,"0","3","Miss","female",21,1,0,14.4542,"no_cabin","C","2","no_prefix",63
242,"1","3","Miss","female",15,1,0,15.5,"no_cabin","Q","3","no_prefix",45
243,"0","2","Mr","male",29,0,0,10.5,"no_cabin","S","1","WC",58
244,"0","3","Mr","male",22,0,0,7.125,"no_cabin","S","2","STONO",66
245,"0","3","Mr","male",30,0,0,7.225,"no_cabin","C","2","no_prefix",90
246,"0","1","Dr","male",44,2,0,90,"C","Q","1","no_prefix",44
247,"0","3","Miss","female",25,0,0,7.775,"no_cabin","S","3","no_prefix",75
248,"1","2","Mrs","female",24,0,2,14.5,"no_cabin","S","2","no_prefix",48
249,"1","1","Mr","male",37,1,1,52.5542,"D","S","1","no_prefix",37
250,"0","2","Rev","male",54,1,0,26,"no_cabin","S","2","no_prefix",108
251,"0","3","Mr","male",34,0,0,7.25,"no_cabin","S","3","no_prefix",102
252,"0","3","Mrs","female",29,1,1,10.4625,"G","S","3","no_prefix",87
253,"0","1","Mr","male",62,0,0,26.55,"C","S","1","no_prefix",62
254,"0","3","Mr","male",30,1,0,16.1,"no_cabin","S","5","A",90
255,"0","3","Mrs","female",41,0,2,20.2125,"no_cabin","S","3","no_prefix",123
256,"1","3","Mrs","female",29,0,2,15.2458,"no_cabin","C","2","no_prefix",87
257,"1","1","Mrs","female",54,0,0,79.2,"no_cabin","C","1","PC",54
258,"1","1","Miss","female",30,0,0,86.5,"B","S","1","no_prefix",30
259,"1","1","Miss","female",35,0,0,512.3292,"no_cabin","C","1","PC",35
260,"1","2","Mrs","female",50,0,1,26,"no_cabin","S","2","no_prefix",100
261,"0","3","Mr","male",32,0,0,7.75,"no_cabin","Q","3","no_prefix",96
262,"1","3","Master","male",3,4,2,31.3875,"no_cabin","S","3","no_prefix",9
263,"0","1","Mr","male",52,1,1,79.65,"E","S","1","no_prefix",52
264,"0","1","Mr","male",40,0,0,0,"B","S","1","no_prefix",40
265,"0","3","Miss","female",22,0,0,7.75,"no_cabin","Q","3","no_prefix",66
266,"0","2","Mr","male",36,0,0,10.5,"no_cabin","S","1","CA",72
267,"0","3","Mr","male",16,4,1,39.6875,"no_cabin","S","3","no_prefix",48
268,"1","3","Mr","male",25,1,0,7.775,"no_cabin","S","3","no_prefix",75
269,"1","1","Mrs","female",58,0,1,153.4625,"C","S","1","PC",58
270,"1","1","Miss","female",35,0,0,135.6333,"C","S","1","PC",35
271,"0","1","Mr","male",45,0,0,31,"no_cabin","S","1","no_prefix",45
272,"1","3","Mr","male",25,0,0,0,"no_cabin","S","3","LINE",75
273,"1","2","Mrs","female",41,0,1,19.5,"no_cabin","S","2","no_prefix",82
274,"0","1","Mr","male",37,0,1,29.7,"C","C","1","PC",37
275,"1","3","Miss","female",26,0,0,7.75,"no_cabin","Q","3","no_prefix",78
276,"1","1","Miss","female",63,1,0,77.9583,"D","S","1","no_prefix",63
277,"0","3","Miss","female",45,0,0,7.75,"no_cabin","S","3","no_prefix",135
278,"0","2","Mr","male",22,0,0,0,"no_cabin","S","2","no_prefix",44
279,"0","3","Master","male",7,4,1,29.125,"no_cabin","Q","3","no_prefix",21
280,"1","3","Mrs","female",35,1,1,20.25,"no_cabin","S","2","CA",105
281,"0","3","Mr","male",65,0,0,7.75,"no_cabin","Q","3","no_prefix",195
282,"0","3","Mr","male",28,0,0,7.8542,"no_cabin","S","3","no_prefix",84
283,"0","3","Mr","male",16,0,0,9.5,"no_cabin","S","3","no_prefix",48
284,"1","3","Mr","male",19,0,0,8.05,"no_cabin","S","5","A",57
285,"0","1","Mr","male",64,0,0,26,"A","S","1","no_prefix",64
286,"0","3","Mr","male",33,0,0,8.6625,"no_cabin","C","3","no_prefix",99
287,"1","3","Mr","male",30,0,0,9.5,"no_cabin","S","3","no_prefix",90
288,"0","3","Mr","male",22,0,0,7.8958,"no_cabin","S","3","no_prefix",66
289,"1","2","Mr","male",42,0,0,13,"no_cabin","S","2","no_prefix",84
290,"1","3","Miss","female",22,0,0,7.75,"no_cabin","Q","3","no_prefix",66
291,"1","1","Miss","female",26,0,0,78.85,"no_cabin","S","1","no_prefix",26
292,"1","1","Mrs","female",19,1,0,91.0792,"B","C","1","no_prefix",19
293,"0","2","Mr","male",36,0,0,12.875,"D","C","2","SCParis",72
294,"0","3","Miss","female",24,0,0,8.85,"no_cabin","S","3","no_prefix",72
295,"0","3","Mr","male",24,0,0,7.8958,"no_cabin","S","3","no_prefix",72
296,"0","1","Mr","male",28,0,0,27.7208,"no_cabin","C","1","PC",28
297,"0","3","Mr","male",23.5,0,0,7.2292,"no_cabin","C","2","no_prefix",70.5
298,"0","1","Miss","female",2,1,2,151.55,"C","S","1","no_prefix",2
299,"1","1","Mr","male",25,0,0,30.5,"C","S","1","no_prefix",25
300,"1","1","Mrs","female",50,0,1,247.5208,"B","C","1","PC",50
301,"1","3","Miss","female",22,0,0,7.75,"no_cabin","Q","9","no_prefix",66
302,"1","3","Mr","male",32,2,0,23.25,"no_cabin","Q","3","no_prefix",96
303,"0","3","Mr","male",19,0,0,0,"no_cabin","S","3","LINE",57
304,"1","2","Miss","female",24,0,0,12.35,"E","Q","2","no_prefix",48
305,"0","3","Mr","male",28,0,0,8.05,"no_cabin","S","5","A",84
306,"1","1","Master","male",0.92,1,2,151.55,"C","S","1","no_prefix",0.92
307,"1","1","Miss","female",42,0,0,110.8833,"no_cabin","C","1","no_prefix",42
308,"1","1","Mrs","female",17,1,0,108.9,"C","C","1","PC",17
309,"0","2","Mr","male",30,1,0,24,"no_cabin","C","3","PPP",60
310,"1","1","Miss","female",30,0,0,56.9292,"E","C","1","PC",30
311,"1","1","Miss","female",24,0,0,83.1583,"C","C","1","no_prefix",24
312,"1","1","Miss","female",18,2,2,262.375,"B","C","1","PC",18
313,"0","2","Mrs","female",26,1,1,26,"no_cabin","S","2","no_prefix",52
314,"0","3","Mr","male",28,0,0,7.8958,"no_cabin","S","3","no_prefix",84
315,"0","2","Mr","male",43,1,1,26.25,"no_cabin","S","1","FCC",86
316,"1","3","Miss","female",26,0,0,7.8542,"no_cabin","S","3","no_prefix",78
317,"1","2","Mrs","female",24,1,0,26,"no_cabin","S","2","no_prefix",48
318,"0","2","Dr","male",54,0,0,14,"no_cabin","S","2","no_prefix",108
319,"1","1","Miss","female",31,0,2,164.8667,"C","S","3","no_prefix",31
320,"1","1","Mrs","female",40,1,1,134.5,"E","C","1","no_prefix",40
321,"0","3","Mr","male",22,0,0,7.25,"no_cabin","S","5","A",66
322,"0","3","Mr","male",27,0,0,7.8958,"no_cabin","S","3","no_prefix",81
323,"1","2","Miss","female",30,0,0,12.35,"no_cabin","Q","2","no_prefix",60
324,"1","2","Mrs","female",22,1,1,29,"no_cabin","S","2","no_prefix",44
325,"0","3","Mr","male",1,8,2,69.55,"no_cabin","S","2","CA",3
326,"1","1","Miss","female",36,0,0,135.6333,"C","C","1","PC",36
327,"0","3","Mr","male",61,0,0,6.2375,"no_cabin","S","3","no_prefix",183
328,"1","2","Mrs","female",36,0,0,13,"D","S","2","no_prefix",72
329,"1","3","Mrs","female",31,1,1,20.525,"no_cabin","S","3","no_prefix",93
330,"1","1","Miss","female",16,0,1,57.9792,"B","C","1","no_prefix",16
331,"1","3","Miss","female",2,2,0,23.25,"no_cabin","Q","3","no_prefix",6
332,"0","1","Mr","male",45.5,0,0,28.5,"C","S","1","no_prefix",45.5
333,"0","1","Mr","male",38,0,1,153.4625,"C","S","1","PC",38
334,"0","3","Mr","male",16,2,0,18,"no_cabin","S","3","no_prefix",48
335,"1","1","Mrs","female",37,1,0,133.65,"no_cabin","S","1","PC",37
336,"0","3","Mr","male",19,0,0,7.8958,"no_cabin","S","3","no_prefix",57
337,"0","1","Mr","male",29,1,0,66.6,"C","S","1","no_prefix",29
338,"1","1","Miss","female",41,0,0,134.5,"E","C","1","no_prefix",41
339,"1","3","Mr","male",45,0,0,8.05,"no_cabin","S","7","no_prefix",135
340,"0","1","Mr","male",45,0,0,35.5,"T","S","1","no_prefix",45
